idx,timestamp,sentence
8d2005ec35280deb6a438dc87b225f89,00:04,"Humankind loves to build walls. Have you ever noticed that? We build walls for everything: for shelter, for protection, for privacy. Over the past 70 years, the number of barriers between countries has doubled. Right now, there are more walls than at the end of the Second World War, more than during the Cold War. "
8d2005ec35280deb6a438dc87b225f89,00:30,"Growing up in Germany, the fall of the Berlin Wall always felt to me like the introduction of a new world, a world without barriers. But since the attacks of 9/11, the construction has experienced an extreme rise. Since then, the amount has doubled, with about 30 new structures that were planned or built. Walls and fences are often built with the intention of security, security from another group of people, from crime, from illegal trades. But walls and fences only provide us with a feeling of security, which is different from real security. Even though they might make us feel safe, the structures themselves can't protect us. "
8d2005ec35280deb6a438dc87b225f89,01:13,"Instead, they do something else: they separate. They create an us and a them. They establish an enemy. Walls make us build a second wall in our head, a mental wall. And those mental walls slowly make us lose sight of all the things we have in common with the people on the other side. The other way around, mental walls can grow so strong that they encourage us to build, keep or strengthen physical walls. "
8d2005ec35280deb6a438dc87b225f89,01:44,"Physical and mental walls are closely interlinked, and one almost always comes with the other. It's a constant cycle: physical walls empower mental walls, and mental walls empower physical walls until at one point one part falls away, and the cycle is disrupted. "
8d2005ec35280deb6a438dc87b225f89,02:01,"When the Berlin Wall was being built, it was hard to tell who the wall was facing, because the people living around it identified as one. There was no us and them. There was no others. During the time of separation, both sides developed differently and formed individual identities. All of a sudden, there was an us and a them. A mental wall was built, and when the Berlin Wall fell again in 1989, this mental wall in the head of the people stayed. Eastern Germans had to be reintegrated into their own country, and even though they didn't have to move places, many still today feel like they have never fully arrived. Those remaining effects of the mental wall are also measurable. "
8d2005ec35280deb6a438dc87b225f89,02:47,"A study from the Freie University of Berlin in 2005 shows that even 15 years after the reunification, Germans still believed that cities on the other side of the former wall are further away than they really are. The interesting thing is that they found a link between political attitude and estimation of the distance. The more a participant was against the German reunification, the further away they estimated cities to be. It's the mental wall which keeps cities on the other side far away, and the higher and stronger this mental wall, the more difficult they seem to be reached. "
8d2005ec35280deb6a438dc87b225f89,03:30,"I tried to repeat this study with a group of young Germans who grew up without the wall to see if these effects are still measurable nowadays. And the results show that this generation, my generation, is just kind of bad at geography in general -- "
8d2005ec35280deb6a438dc87b225f89,03:47,"East and West. But in our defense, this could be seen as an improvement, right? We never experienced the actual wall. This physical barrier was never able to make us build a mental wall in the first place. "
8d2005ec35280deb6a438dc87b225f89,04:01,"I would love to take this as a serious indication that there could be a future without a mental wall dividing Germany, but I think we have to face reality: this one wall could be disappearing, but in the meanwhile, a billion others are constructed. One global trend we are currently experiencing is the rise of gated communities. And in a way, gated communities can be seen the same exact way as countries, just on the small scale -- neighborhoods surrounded by walls and fences to protect citizens from other citizens -- and the only difference is, it's by choice. But the physical and mental effects on the people living inside and the people kept outside are the same, separating cities, neighborhoods and even playgrounds. "
8d2005ec35280deb6a438dc87b225f89,04:51,"In the spring of last year, I worked on a design project in Brussels at two elementary schools where this was the case. Both the schools share an entrance and the schoolyard. Both schools teach in Dutch. But one school is mainly visited by Belgian children, and the other school, by immigrant children. The schools are separated by walls and fences, leaving the children no point of interaction other than this fence on the schoolyard that separates them. When I started to work there, it made me sad to see children having to stand at a fence to talk to their friend on the other side. But what's even worse is that most of the children will never get the opportunity to even make a friend on the other side. "
8d2005ec35280deb6a438dc87b225f89,05:35,"School should be the place where children, all children, come together and learn -- learn from the teacher, but more importantly, learn from each other. And the more diversity, the more there is to learn. In fact, school might be the only time in our lives where establishing a contact despite social differences is even possible. Separating children during this time of their development will make integration extremely difficult, if not impossible. "
